plot#,lat,long,elv,soilC,A_thick,AB_thick,AAB_tck,B_thick,soil_depth,tree_h_M,Diam_C,soil_C,abv_C,BAR,comm,dominant,主要优势树,坡度,坡向,坡位,样地描述
XXALYF110803131,47.732395,130.22075,153,2,4,8,12,9,21,9.336170207,11.78212771,2,3.340533322,1.96,乌苏里羊胡子平榛山杨林,白桦,山杨,5,300,中上,土层薄，贫瘠。无明显人为干扰，林下红皮云杉更新良好。
XXALYF110803133,47.678452,130.241403,207,4,8,17,25,10,35,12.98114759,13.2741803,4,3.165984783,0.77,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,230,中下,灌草层不发达。
XXALYF110803135,47.671758,130.245982,172,20,17,0,17,20,37,9.002272693,12.30227274,20,1.87312933,0.09,塔头苔草 绣线菊 白桦林,白桦,白桦,8,东,,无明显人为干扰 有少量积水 灌木层不发达
XXALYF110804030,46.195857,128.783492,169,15,17,0,17,22,39,11.11190479,11.22738091,15,2.777884593,0.18,水曲柳胡桃楸林,白桦,水曲柳、胡桃楸,10,193,下,择伐。
XXALYF110805033,45.991555,129.141308,82.9,3,15,0,15,35,50,8.883191474,8.119148949,3,1.929388176,0.57,山杨人工林,白桦,山杨,2,西,,无
XXALYF110805139,47.413215,129.756597,323,6,17,16,33,10,43,11.42318839,15.74782604,6,4.049186553,0.71,修氏苔草珍珠梅白桦林,白桦,白桦,3,340,下,林下人工更新落叶松已接近主林层
XXALYF110805142,47.408543,129.863245,354,7,13,24,37,15,52,14.18317756,14.00934581,7,7.252746507,0.99,凸脉苔草毛榛山杨林,白桦,山杨,24,244,上,坡度较大，有伐桩，林下红松更新较好，但高度较低
XXALYF110806041,46.255385,129.121012,158,19,27,0,27,16,42,10.62125007,11.50624999,19,7.499841304,0.39,毛赤杨白桦林,白桦,毛赤杨 白桦,11.39565468,209.7448883,,择伐
XXALYF110806046,46.239585,129.15535,163,16,39,0,39,15,54,14.54615392,15.26923075,16,3.879242813,0.25,山杨人工林,白桦,山杨,2,181,上,择伐
XXALYF110806145,47.135908,129.756833,278,12,26,44,70,0,70,15.76790124,10.58024695,12,2.110638421,0.18,兴安落叶松人工林,兴安落叶松,兴安落叶松,4,155,中下,退耕还林造林，林下无有事灌木，有抚育伐
XXALYF110806147,47.093763,129.802685,216,14,26,0,26,39,65,9.298795143,8.984337422,14,2.491641878,0.18,小叶章绣线菊白桦林,白桦,白桦,4.22268724,196.3895416,,有抚育，人工跟新落叶松不成功
XXALYF110807047,46.321595,129.111968,162,13,16,0,16,23,38,16.54918028,14.62459016,13,3.017973277,0.23,兴安落叶松人工林,兴安落叶松,兴安落叶松,1.90915239,270,,择伐
XXALYF110807048,46.321525,129.112253,138,17,19,0,19,11,30,17.35820888,15.15970148,17,3.018876098,0.18,白桦 兴安落叶松林,白桦,白桦、兴安落叶松,2,,43,择伐
XXALYF110807049,46.319763,129.115918,186,16,26,0,26,16,42,18.26376807,16.25507246,16,3.574690721,0.22,兴安落叶松 水曲柳 林,兴安落叶松,兴安落叶松 水曲柳,3,173,中,择伐
XXALYF110807050,46.317192,129.128842,185,26,38,0,38,9,47,13.52544121,13.05882353,26,2.336969875,0.09,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,245,下,择伐。
XXALYF110807052,46.311567,129.150763,162,8,18,18,36,20,55,15.97246373,13.35507244,8,3.53937396,0.44,水曲柳 兴安落叶松 人工林,兴安落叶松,水曲柳 兴安落叶松,7.36374044,178.1523895,,稀伐
XXALYF110807054,46.310905,129.1557,145,12,11,0,11,34,45,14.41264374,13.02068967,12,2.501705411,0.21,兴安落叶松人工林,兴安落叶松,兴安落叶松,5,231,下,择伐。
XXALYF110807151,47.467125,130.156535,228,5,10,11,21,40,61,4.694117613,6.039705936,5,0.585209255,0.11,乌苏里羊胡子平榛黑桦幼林,白桦,白桦,3,270,中,伐后黑桦、蒙古栎更新良好，未郁闭，人工植红皮云杉
XXALYF110807154,47.37468,130.210717,186,6,10,10,20,45,65,11.29999997,16.96774193,6,4.789931184,0.84,红松人工林,红松,红松,14,251,中,有抚育伐、灌草层不发达
XXALYF110808059,46.45353,129.097418,184,10,21,33,54,0,54,14.94197532,13.4804878,10,3.863696983,0.38,兴安落叶松白桦林,兴安落叶松,兴安落叶松,3,284,中,择伐
XXALYF110808060,46.446176,129.090059,199,8,21,0,21,21,42,15.03058821,13.43882352,8,3.928932407,0.47,兴安落叶松白桦林,白桦,白桦、兴安落叶松,30,337,中,红松人工更新
XXALYF110808061,46.445557,129.082528,201,10,23,0,23,12,34,18.94999999,12.3708333,10,1.90179335,0.19,白桦林,白桦,白桦,2.43313885,168.6900635,,无
XXALYF110808062,46.446753,129.077467,204,14,33,21,53,10,63,14.70705884,11.87647059,14,2.570796282,0.18,红皮云杉水曲柳林,兴安落叶松,兴安落叶松,2,135,中,红松人工更新
XXALYF110808063,46.44601,129.090353,193,5,15,0,15,19,34,13.67119997,11.24,5,3.989409962,0.84,兴安落叶松水曲柳林,兴安落叶松,兴安落叶松 水曲柳,3.18181276,192.9946137,,择伐
XXALYF110808065,46.449785,129.09597,199,11,25,0,25,13,38,14.97738096,10.9642857,11,1.726395997,0.15,兴安落叶松水曲柳林,兴安落叶松,兴安落叶松,3,181,中,择伐
XXALYF110808157,47.473563,130.29605,162,6,9,31,40,7,47,11.19411767,13.3602941,6,1.990474025,0.33,兴安落叶松人工林,兴安落叶松,兴安落叶松,2,308,上,有抚育 地势平坦 灌木层不发达
XXALYF110808161,47.597333,129.925625,324,14,8,23,31,0,31,13.78928569,14.53690474,14,6.774781808,0.47,乌苏里羊胡子毛榛子红松林,红松,红松 臭冷杉,5,148,下,有少量伐桩 邻近旅游点
